"hydrological.year","tour","offpiste","building","transportation.corridor","unknown","sum"
"1936/37",16,0,0,4,0,20
"1937/38",8,2,0,1,0,11
"1938/39",17,2,1,3,0,23
"1939/40",14,0,0,1,0,15
"1940/41",15,2,4,6,0,27
"1941/42",16,3,22,15,0,56
"1942/43",14,0,0,1,0,15
"1943/44",15,1,2,11,0,29
"1944/45",10,1,15,13,0,39
"1945/46",7,1,0,3,0,11
"1946/47",19,1,0,0,0,20
"1947/48",4,0,0,6,0,10
"1948/49",1,0,0,0,0,1
"1949/50",3,0,0,2,0,5
"1950/51",3,1,77,18,0,99
"1951/52",8,1,0,8,0,17
"1952/53",14,1,0,7,0,22
"1953/54",10,0,14,9,0,33
"1954/55",8,0,5,0,0,13
"1955/56",8,3,0,0,0,11
"1956/57",7,0,0,5,0,12
"1957/58",14,4,0,0,0,18
"1958/59",8,2,0,5,0,15
"1959/60",1,0,0,5,0,6
"1960/61",18,3,0,7,0,28
"1961/62",13,9,2,12,0,36
"1962/63",10,0,1,6,0,17
"1963/64",24,4,1,4,0,33
"1964/65",13,5,0,6,0,24
"1965/66",6,0,0,9,0,15
"1966/67",3,0,9,5,0,17
"1967/68",5,3,25,5,0,38
"1968/69",18,4,0,0,0,22
"1969/70",14,8,30,4,0,56
"1970/71",24,2,0,7,0,33
"1971/72",19,4,0,0,0,23
"1972/73",24,3,0,5,0,32
"1973/74",8,3,0,3,0,14
"1974/75",11,1,10,5,0,27
"1975/76",11,5,0,0,0,16
"1976/77",18,7,0,5,0,30
"1977/78",25,12,0,7,0,44
"1978/79",19,16,0,3,0,38
"1979/80",15,7,0,5,0,27
"1980/81",18,7,0,2,0,27
"1981/82",14,5,0,1,0,20
"1982/83",20,6,0,0,0,26
"1983/84",21,5,7,8,0,41
"1984/85",24,16,0,15,0,55
"1985/86",26,6,0,2,0,34
"1986/87",6,8,0,1,0,15
"1987/88",16,6,1,1,0,24
"1988/89",9,5,0,2,0,16
"1989/90",25,3,0,0,0,28
"1990/91",26,11,0,1,0,38
"1991/92",5,2,0,6,0,13
"1992/93",25,3,0,0,0,28
"1993/94",16,3,0,2,0,21
"1994/95",19,1,0,0,0,20
"1995/96",7,10,0,0,0,17
"1996/97",14,9,0,1,0,24
"1997/98",9,3,0,2,0,14
"1998/99",12,7,9,8,0,36
"1999/00",10,6,0,2,0,18
"2000/01",22,9,0,1,0,32
"2001/02",14,10,0,0,0,24
"2002/03",7,13,0,0,0,20
"2003/04",7,4,0,0,0,11
"2004/05",20,6,0,0,0,26
"2005/06",8,16,0,0,0,24
"2006/07",13,8,0,0,0,21
"2007/08",7,2,0,2,0,11
"2008/09",17,11,0,0,0,28
"2009/10",24,5,0,0,0,29
"2010/11",23,3,0,0,0,26
"2011/12",13,3,0,3,0,19
"2012/13",14,8,0,0,0,22
"2013/14",16,6,0,0,0,22
"2014/15",23,10,0,0,0,33
"2015/16",16,5,0,0,0,21
"2016/17",6,2,0,0,0,8
"2017/18",19,7,0,1,0,27
